part_number,description,part_category,base_price,standard_cost,inventory_level,standard_lead_time_days,supplier_risk_score
P-1001,Industrial temperature sensor,Sensors,185.0,112.0,180,7,0.22
P-1002,Hydraulic pump assembly,Hydraulics,1420.0,940.0,34,21,0.64
P-1003,PLC control module,Controls,890.0,575.0,52,14,0.31
P-1004,Precision ball valve,Valves,245.0,151.0,120,10,0.27
P-1005,Servo motor kit,Motion,1125.0,760.0,40,18,0.45
P-1006,Food-grade conveyor belt,Conveyance,680.0,438.0,26,16,0.58
P-1007,Robotic end effector,Automation,2310.0,1540.0,15,28,0.73
P-1008,Industrial safety relay,Controls,135.0,82.0,240,6,0.18
P-1009,Stainless pressure fitting,Fittings,48.0,29.0,650,5,0.15
P-1010,Vision inspection camera,Automation,1760.0,1185.0,22,24,0.69
P-1011,Variable frequency drive,Controls,740.0,482.0,48,12,0.36
P-1012,Pneumatic cylinder pack,Pneumatics,315.0,198.0,95,9,0.25
